Rank;Full Journal Title;ISSN;Journal Impact Factor
6139;INTERNATIONAL JOURNAL OF STD & AIDS;0956-4624;1.300
7110;Scandinavian Journal of Management;0956-5221;1.076
2731;GEOPHYSICAL JOURNAL INTERNATIONAL;0956-540X;2.484
4503;CYTOPATHOLOGY;0956-5507;1.761
3846;JOURNAL OF INTELLIGENT MANUFACTURING;0956-5515;1.995
325;BIOSENSORS & BIOELECTRONICS;0956-5663;7.476
1549;FOOD CONTROL;0956-7135;3.388
7055;EUROPEAN JOURNAL OF APPLIED MATHEMATICS;0956-7925;1.088
11650;Rural History-Economy Society Culture;0956-7933;0.174
5918;JOURNAL OF FUNCTIONAL PROGRAMMING;0956-7968;1.357
569;PSYCHOLOGICAL SCIENCE;0956-7976;5.476
5426;MEASUREMENT SCIENCE and TECHNOLOGY;0957-0233;1.492
10586;HISTORY OF PSYCHIATRY;0957-154X;0.415
11737;French Cultural Studies;0957-1558;0.143
6953;Utilities Policy;0957-1787;1.110
6953;Utilities Policy;0957-1787;1.110
8862;Journal of Grey System;0957-3720;0.725
7874;International Journal of Logistics Management;0957-4093;0.917
4148;MECHATRONICS;0957-4158;1.871
3549;TETRAHEDRON-ASYMMETRY;0957-4166;2.108
1980;EXPERT SYSTEMS WITH APPLICATIONS;0957-4174;2.981
7224;JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION;0957-4271;1.047
10033;INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION;0957-4352;0.515
1388;NANOTECHNOLOGY;0957-4484;3.573
4374;JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS;0957-4522;1.798
3157;JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE;0957-4530;2.272
3711;HEALTH PROMOTION INTERNATIONAL;0957-4824;2.046
6389;BLOOD COAGULATION & FIBRINOLYSIS;0957-5235;1.242
2406;CANCER CAUSES & CONTROL;0957-5243;2.680
3629;PROCESS SAFETY AND ENVIRONMENTAL PROTECTION;0957-5820;2.078
9067;PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART A-JOURNAL OF POWER AND ENERGY;0957-6509;0.689
10885;INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION;0957-7572;0.355
9459;EQUINE VETERINARY EDUCATION;0957-7734;0.615
7015;Voluntas;0957-8765;1.097
8896;European Journal of Development Research;0957-8811;0.720
6834;DISCOURSE & SOCIETY;0957-9265;1.137
5584;Criminal Behaviour and Mental Health;0957-9664;1.446
597;CURRENT OPINION IN LIPIDOLOGY;0957-9672;5.336
2699;PHYTOCHEMICAL ANALYSIS;0958-0344;2.497
2207;EXPERIMENTAL PHYSIOLOGY;0958-0670;2.818
2643;Critical Public Health;0958-1596;2.530
266;CURRENT OPINION IN BIOTECHNOLOGY;0958-1669;8.314
5512;RESEARCH EVALUATION;0958-2029;1.467
10040;Energy & Environment;0958-305X;0.513
8220;BIOCONTROL SCIENCE AND TECHNOLOGY;0958-3157;0.848
6869;ReCALL;0958-3440;1.128
7420;Medical Dosimetry;0958-3947;1.007
6310;INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT;0958-5192;1.262
3974;INTERNATIONAL DAIRY JOURNAL;0958-6946;1.938
4742;TRANSFUSION MEDICINE;0958-7578;1.689
4645;Computer Assisted Language Learning;0958-8221;1.722
9522;JOURNAL OF GENDER STUDIES;0958-9236;0.604
5678;JOURNAL OF EUROPEAN SOCIAL POLICY;0958-9287;1.426
1538;CEMENT & CONCRETE COMPOSITES;0958-9465;3.399
3283;JOURNAL OF PROCESS CONTROL;0959-1524;2.216
11062;Journal of French Language Studies;0959-2695;0.316
7435;BIRD CONSERVATION INTERNATIONAL;0959-2709;1.000
3731;INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA;0959-289X;2.040
7527;BIO-MEDICAL MATERIALS AND ENGINEERING;0959-2989;0.988
10875;ISOKINETICS AND EXERCISE SCIENCE;0959-3020;0.357
4507;ENVIRONMENTAL TECHNOLOGY;0959-3330;1.760
6190;FEMINISM & PSYCHOLOGY;0959-3535;1.290
9287;THEORY & PSYCHOLOGY;0959-3543;0.646
518;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;0959-3780;5.679
518;GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS;0959-3780;5.679
6774;Information Technology & People;0959-3845;1.150
6700;PHYSIOTHERAPY THEORY AND PRACTICE;0959-3985;1.169
5282;WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY;0959-3993;1.532
495;CURRENT OPINION IN GENETICS & DEVELOPMENT;0959-437X;5.784
409;CURRENT OPINION IN NEUROBIOLOGY;0959-4388;6.373
380;CURRENT OPINION IN STRUCTURAL BIOLOGY;0959-440X;6.713
5142;VETERINARY DERMATOLOGY;0959-4493;1.568
1299;LEARNING AND INSTRUCTION;0959-4752;3.692
5972;NEUROREPORT;0959-4965;1.343
3167;ANTI-CANCER DRUGS;0959-4973;2.268
2894;DRUG AND ALCOHOL REVIEW;0959-5236;2.405
3370;International Journal of Contemporary Hospitality Management;0959-6119;2.176
8002;PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART I-JOURNAL OF SYSTEMS AND CONTROL ENGINEERING;0959-6518;0.889
697;JOURNAL OF CLEANER PRODUCTION;0959-6526;4.959
1646;GLYCOBIOLOGY;0959-6658;3.283
7229;EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS;0959-6801;1.045
3477;HOLOCENE;0959-6836;2.135
434;EUROPEAN JOURNAL OF CANCER;0959-8049;6.163
2878;POLYMER INTERNATIONAL;0959-8103;2.414
2874;EUROPEAN JOURNAL OF CANCER PREVENTION;0959-8278;2.415
5744;MENDELEEV COMMUNICATIONS;0959-9436;1.405
3519;INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY;0959-9673;2.125
6328;CLINICAL AUTONOMIC RESEARCH;0959-9851;1.257
3566;INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT;0960-0035;2.101
1100;JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY;0960-0760;3.985
4988;CHAOS SOLITONS & FRACTALS;0960-0779;1.611
7089;SOFTWARE TESTING VERIFICATION & RELIABILITY;0960-0833;1.082
2099;EUROPEAN JOURNAL OF INFORMATION SYSTEMS;0960-085X;2.892
2099;EUROPEAN JOURNAL OF INFORMATION SYSTEMS;0960-085X;2.892
8696;MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE;0960-1295;0.758
4481;JOURNAL OF MICROMECHANICS AND MICROENGINEERING;0960-1317;1.768
1537;RENEWABLE ENERGY;0960-1481;3.404
3137;MATHEMATICAL FINANCE;0960-1627;2.283
3137;MATHEMATICAL FINANCE;0960-1627;2.283
2314;BRITISH JOURNAL OF GENERAL PRACTICE;0960-1643;2.741
3617;NEUROPSYCHOLOGICAL REHABILITATION;0960-2011;2.082
5739;SEED SCIENCE RESEARCH;0960-2585;1.406
2394;FOOD AND BIOPRODUCTS PROCESSING;0960-3085;2.687
3184;BIODIVERSITY AND CONSERVATION;0960-3115;2.258
5088;INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH;0960-3123;1.582
1707;REVIEWS IN FISH BIOLOGY AND FISHERIES;0960-3166;3.222
4414;STATISTICS AND COMPUTING;0960-3174;1.786
5017;HUMAN & EXPERIMENTAL TOXICOLOGY;0960-3271;1.604
8956;MATERIALS AT HIGH TEMPERATURES;0960-3409;0.709
6207;Managing Service Quality;0960-4529;1.286
6041;INDUSTRIAL AND CORPORATE CHANGE;0960-6491;1.327
1440;SURGICAL ONCOLOGY-OXFORD;0960-7404;3.514
572;PLANT JOURNAL;0960-7412;5.468
6132;International Journal of Paediatric Dentistry;0960-7439;1.303
978;ULTRASOUND IN OBSTETRICS & GYNECOLOGY;0960-7692;4.254
1853;CELL PROLIFERATION;0960-7722;3.084
10633;Contemporary European History;0960-7773;0.407
711;BIORESOURCE TECHNOLOGY;0960-8524;4.917
1586;OBESITY SURGERY;0960-8923;3.346
3277;MELANOMA RESEARCH;0960-8931;2.219
2726;BIOORGANIC & MEDICINAL CHEMISTRY LETTERS;0960-894X;2.486
1836;NEUROMUSCULAR DISORDERS;0960-8966;3.107
770;PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS;0960-8974;4.750
2318;BREAST;0960-9776;2.740
225;CURRENT BIOLOGY;0960-9822;8.983
6407;JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE;0961-0006;1.239
3534;LUPUS;0961-2033;2.118
4367;SOCIAL DEVELOPMENT;0961-205X;1.800
3327;BUILDING RESEARCH AND INFORMATION;0961-3218;2.196
6328;TIME & SOCIETY;0961-463X;1.257
4396;EUROPEAN JOURNAL OF CANCER CARE;0961-5423;1.794
4396;EUROPEAN JOURNAL OF CANCER CARE;0961-5423;1.794
5483;INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW;0961-5539;1.475
1911;PROTEIN SCIENCE;0961-8368;3.039
1679;BIOMASS & BIOENERGY;0961-9534;3.249
5825;JOURNAL OF CLINICAL NURSING;0962-1067;1.384
5825;JOURNAL OF CLINICAL NURSING;0962-1067;1.384
2138;INSECT MOLECULAR BIOLOGY;0962-1075;2.866
473;MOLECULAR ECOLOGY;0962-1083;5.947
1844;JOURNAL OF SLEEP RESEARCH;0962-1105;3.093
811;STATISTICAL METHODS IN MEDICAL RESEARCH;0962-2802;4.634
223;ACTA NUMERICA;0962-4929;9.000
2328;POLITICAL GEOGRAPHY;0962-6298;2.733
8333;ANIMAL WELFARE;0962-7286;0.824
6869;OCCUPATIONAL MEDICINE-OXFORD;0962-7480;1.128
488;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;0962-8436;5.847
743;PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES;0962-8452;4.823
5817;Business Ethics-A European Review;0962-8770;1.386
3688;TRANSGENIC RESEARCH;0962-8819;2.054
10021;CLINICAL DYSMORPHOLOGY;0962-8827;0.518
152;TRENDS IN CELL BIOLOGY;0962-8924;11.532
2850;QUALITY OF LIFE RESEARCH;0962-9343;2.429
2850;QUALITY OF LIFE RESEARCH;0962-9343;2.429
1524;MEDIATORS OF INFLAMMATION;0962-9351;3.418
2224;PLASMA SOURCES SCIENCE & TECHNOLOGY;0963-0252;2.808
3818;CURRENT OPINION IN UROLOGY;0963-0643;2.006
11204;JOURNAL OF SEISMIC EXPLORATION;0963-0651;0.283
6806;Creativity and Innovation Management;0963-1690;1.143
3677;JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY;0963-1798;2.059
9021;CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS;0963-1801;0.697
9021;CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS;0963-1801;0.697
6105;ENVIRONMENTAL VALUES;0963-2719;1.311
9384;COMBINATORICS PROBABILITY & COMPUTING;0963-5483;0.627
7186;SECURITY STUDIES;0963-6412;1.056
4064;PUBLIC UNDERSTANDING OF SCIENCE;0963-6625;1.904
1512;CELL TRANSPLANTATION;0963-6897;3.427
11692;ADVANCED COMPOSITES LETTERS;0963-6935;0.158
557;CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE;0963-7214;5.545
5568;INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION;0963-7486;1.451
7239;JOURNAL OF POLITICAL PHILOSOPHY;0963-8016;1.044
9425;JOURNAL OF AFRICAN ECONOMIES;0963-8024;0.621
7006;European Accounting Review;0963-8180;1.098
10880;Journal of International Trade & Economic Development;0963-8199;0.356
4733;Journal of Mental Health;0963-8237;1.691
4028;DISABILITY AND REHABILITATION;0963-8288;1.919
4028;DISABILITY AND REHABILITATION;0963-8288;1.919
2529;JOURNAL OF STRATEGIC INFORMATION SYSTEMS;0963-8687;2.595
2529;JOURNAL OF STRATEGIC INFORMATION SYSTEMS;0963-8687;2.595
4148;NDT & E INTERNATIONAL;0963-8695;1.871
3040;ECOTOXICOLOGY;0963-9292;2.329
8530;SOFTWARE QUALITY JOURNAL;0963-9314;0.787
11051;Language and Literature;0963-9470;0.318
1755;FOOD RESEARCH INTERNATIONAL;0963-9969;3.182
4685;Journal of Environmental Planning and Management;0964-0568;1.710
2280;Smart Materials and Structures;0964-1726;2.769
4696;JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY;0964-1998;1.702
4696;JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY;0964-1998;1.702
3645;JOURNAL OF INTELLECTUAL DISABILITY RESEARCH;0964-2633;2.070
6508;Intensive and Critical Care Nursing;0964-3397;1.214
6508;Intensive and Critical Care Nursing;0964-3397;1.214
10586;German Politics;0964-4008;0.415
3405;ENVIRONMENTAL POLITICS;0964-4016;2.164
416;TOBACCO CONTROL;0964-4563;6.321
416;TOBACCO CONTROL;0964-4563;6.321
1470;Business Strategy and the Environment;0964-4733;3.479
5052;Acupuncture in Medicine;0964-5284;1.592
4715;OCEAN & COASTAL MANAGEMENT;0964-5691;1.696
7963;SOCIAL & LEGAL STUDIES;0964-6639;0.896
467;HUMAN MOLECULAR GENETICS;0964-6906;5.985
9951;Journal of the History of the Neurosciences;0964-704X;0.529
5944;ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION;0964-7058;1.350
2850;INTERNATIONAL BIODETERIORATION & BIODEGRADATION;0964-8305;2.429
3388;CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW;0964-8410;2.169
4193;MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING;0965-0393;1.859
1120;ONCOLOGY RESEARCH;0965-0407;3.957
9488;INTERNATIONAL JOURNAL OF SELECTION AND ASSESSMENT;0965-075X;0.610
10931;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING;0965-089X;0.348
11247;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER;0965-0903;0.275
10507;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS;0965-0911;0.429
11075;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT;0965-092X;0.314
1246;INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY;0965-1748;3.767
4836;Journal of Tissue Viability;0965-206X;1.656
4836;Journal of Tissue Viability;0965-206X;1.656
693;ADDICTION;0965-2140;4.972
693;ADDICTION;0965-2140;4.972
3984;COMPLEMENTARY THERAPIES IN MEDICINE;0965-2299;1.935
7533;Disaster Prevention and Management;0965-3562;0.987
7186;EUROPEAN PLANNING STUDIES;0965-4313;1.056
8516;COMPUTATIONAL MATHEMATICS AND MATHEMATICAL PHYSICS;0965-5425;0.789
10149;PETROLEUM CHEMISTRY;0965-5441;0.495
8680;POLYMER SCIENCE SERIES A;0965-545X;0.760
9789;Review of International Economics;0965-7576;0.558
3889;MEMORY;0965-8211;1.976
9859;Language Awareness;0965-8416;0.545
3848;TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;0965-8564;1.994
3848;TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE;0965-8564;1.994
4790;ADVANCES IN ENGINEERING SOFTWARE;0965-9978;1.673
5181;HEALTH & SOCIAL CARE IN THE COMMUNITY;0966-0410;1.557
4652;Journal of Nursing Management;0966-0429;1.721
4652;Journal of Nursing Management;0966-0429;1.721
3484;BIOMETALS;0966-0844;2.134
7120;Journal of Contingencies and Crisis Management;0966-0879;1.073
6078;TRANSPLANT IMMUNOLOGY;0966-3274;1.317
8825;Feminist Legal Studies;0966-3622;0.731
6655;Gender Place and Culture;0966-369X;1.180
3133;GAIT & POSTURE;0966-6362;2.286
3593;Journal of Transport Geography;0966-6923;2.090
9099;Occupational Therapy International;0966-7903;0.683
9099;Occupational Therapy International;0966-7903;0.683
9158;EUROPE-ASIA STUDIES;0966-8136;0.671
200;TRENDS IN MICROBIOLOGY;0966-842X;9.500
8928;JOURNAL OF HEART VALVE DISEASE;0966-8519;0.715
2740;Journal of Sustainable Tourism;0966-9582;2.480
2626;INTERMETALLICS;0966-9795;2.541
5608;SECURITY DIALOGUE;0967-0106;1.443
3309;EUROPEAN JOURNAL OF PHYCOLOGY;0967-0262;2.205
6919;JOURNAL OF NEAR INFRARED SPECTROSCOPY;0967-0335;1.117
2404;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS;0967-0637;2.684
3473;DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY;0967-0645;2.137
4284;CONTROL ENGINEERING PRACTICE;0967-0661;1.830
11103;COMMUNIST AND POST-COMMUNIST STUDIES;0967-067X;0.308
5320;Transport Policy;0967-070X;1.522
6744;Medical Law Review;0967-0742;1.156
6744;Medical Law Review;0967-0742;1.156
9215;ECONOMICS OF TRANSITION;0967-0750;0.660
10793;INTERNATIONAL JOURNAL OF PEST MANAGEMENT;0967-0874;0.373
5863;ZYGOTE;0967-1994;1.370
11083;European Journal of the History of Economic Thought;0967-2567;0.312
5112;PHYSIOLOGICAL MEASUREMENT;0967-3334;1.576
8400;ENVIRONMENT AND HISTORY;0967-3407;0.811
2537;CHROMOSOME RESEARCH;0967-3849;2.590
11325;POLYMERS & POLYMER COMPOSITES;0967-3911;0.256
6378;BRITISH JOURNAL OF BIOMEDICAL SCIENCE;0967-4845;1.245
5815;JOURNAL OF CLINICAL NEUROSCIENCE;0967-5868;1.387
7670;AQUACULTURE INTERNATIONAL;0967-6120;0.960
125;TRENDS IN BIOCHEMICAL SCIENCES;0968-0004;12.810
5584;KNEE;0968-0160;1.446
5193;SUSTAINABLE DEVELOPMENT;0968-0802;1.554
2049;BIOORGANIC & MEDICINAL CHEMISTRY;0968-0896;2.923
1866;TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;0968-090X;3.075
11455;WAR IN HISTORY;0968-3445;0.225
4252;MICRON;0968-4328;1.838
2473;MAGNETIC RESONANCE MATERIALS IN PHYSICS BIOLOGY AND MEDICINE;0968-5243;2.638
6052;GENDER WORK AND ORGANIZATION;0968-6673;1.325
7312;DISABILITY & SOCIETY;0968-7599;1.030
8664;DRUGS-EDUCATION PREVENTION AND POLICY;0968-7637;0.762
3874;MOLECULAR MEMBRANE BIOLOGY;0968-7688;1.983
6480;REPRODUCTIVE HEALTH MATTERS;0968-8080;1.221
1739;CELLULOSE;0969-0239;3.195
6552;Journal of Wound Care;0969-0700;1.205
11810;CATTLE PRACTICE;0969-1251;0.115
4541;JOURNAL OF MEDICAL SCREENING;0969-1413;1.750
621;STRUCTURE;0969-2126;5.237
2878;REVIEW OF INTERNATIONAL POLITICAL ECONOMY;0969-2290;2.414
3539;CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE;0969-5893;2.113
4799;International Business Review;0969-5931;1.669
6336;International Transactions in Operational Research;0969-6016;1.255
6336;International Transactions in Operational Research;0969-6016;1.255
964;ANGIOGENESIS;0969-6970;4.301
7080;JOURNAL OF AIR TRANSPORT MANAGEMENT;0969-6997;1.084
1683;GENE THERAPY;0969-7128;3.242
5506;NURSING ETHICS;0969-7330;1.469
5506;NURSING ETHICS;0969-7330;1.469
3629;EUROPEAN URBAN AND REGIONAL STUDIES;0969-7764;2.078
6837;APPLIED RADIATION AND ISOTOPES;0969-8043;1.136
2850;NUCLEAR MEDICINE AND BIOLOGY;0969-8051;2.429
6541;RADIATION PHYSICS AND CHEMISTRY;0969-806X;1.207
3765;European Journal of Emergency Medicine;0969-9546;2.026
729;NEUROBIOLOGY OF DISEASE;0969-9961;4.856
5367;FISHERIES MANAGEMENT AND ECOLOGY;0969-997X;1.510
10984;Journal of the Ramanujan Mathematical Society;0970-1249;0.333
7917;NATIONAL MEDICAL JOURNAL OF INDIA;0970-258X;0.907
9341;MAPAN-Journal of Metrology Society of India;0970-3950;0.634
8174;JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE;0970-4140;0.857
11686;INDIAN JOURNAL OF FISHERIES;0970-6011;0.160
10331;Journal of Cytology;0970-9371;0.463
11448;BIOMEDICAL RESEARCH-INDIA;0970-938X;0.226
10557;INDIAN JOURNAL OF FIBRE & TEXTILE RESEARCH;0971-0426;0.420
11530;INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY;0971-1627;0.207
10707;Range Management and Agroforestry;0971-2070;0.391
10086;JOURNAL OF APPLIED ANIMAL RESEARCH;0971-2119;0.503
11422;Indian Journal of Hematology and Blood Transfusion;0971-4502;0.232
10169;INDIAN JOURNAL OF CHEMICAL TECHNOLOGY;0971-457X;0.491
10370;INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES;0971-4588;0.456
9927;ALLELOPATHY JOURNAL;0971-4693;0.533
11427;Indian Journal of Gender Studies;0971-5215;0.231
5942;PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS;0971-5894;1.351
5584;INDIAN JOURNAL OF MEDICAL RESEARCH;0971-5916;1.446
11970;JOURNAL OF CAMEL PRACTICE AND RESEARCH;0971-6777;0.027
10552;Science Technology and Society;0971-7218;0.421
5937;JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY;0971-7811;1.352
10913;HIMALAYAN GEOLOGY;0971-8966;0.350
11574;Anthropologist;0972-0073;0.195
11574;Anthropologist;0972-0073;0.195
11079;Journal of Essential Oil Bearing Plants;0972-060X;0.313
9425;Sugar Tech;0972-1525;0.621
10857;Journal of Agrometeorology;0972-1665;0.361
10897;Indian Journal of Surgery;0972-2068;0.353
9077;Annals of Indian Academy of Neurology;0972-2327;0.687
10089;TRANSACTIONS OF THE INDIAN INSTITUTE OF METALS;0972-2815;0.502
11341;Animal Nutrition and Feed Technology;0972-2963;0.252
10750;INTERNATIONAL JOURNAL OF HUMAN GENETICS;0972-3757;0.382
7306;Conservation & Society;0972-4923;1.031
11802;Advances in Vibration Engineering;0972-5768;0.120
11185;INDIAN JOURNAL OF BIOTECHNOLOGY;0972-5849;0.287
10807;Indian Journal of Traditional Knowledge;0972-5938;0.371
11775;Indian Journal of Horticulture;0972-8538;0.129
8102;JOURNAL OF VECTOR BORNE DISEASES;0972-9062;0.872
8308;Journal of Minimal Access Surgery;0972-9941;0.830
2952;Energy for Sustainable Development;0973-0826;2.379
8300;Pharmacognosy Magazine;0973-1296;0.831
6714;INDIAN JOURNAL OF PHYSICS;0973-1458;1.166
8581;Journal of Cancer Research and Therapeutics;0973-1482;0.777
11607;Journal of South Asian Development;0973-1741;0.185
10829;International Journal of Diabetes in Developing Countries;0973-3930;0.366
10444;Studies on Ethno-Medicine;0973-5070;0.443
8353;Mathematical Modelling of Natural Phenomena;0973-5348;0.820
10013;International Journal of Shoulder Surgery;0973-6042;0.519
10771;JOURNAL OF POLYMER MATERIALS;0973-8622;0.377
7074;JOURNAL OF CHEMICAL SCIENCES;0974-3626;1.085
7662;CytoJournal;0974-5963;0.962
2041;PLANT PHYSIOLOGY AND BIOCHEMISTRY;0981-9428;2.928
10676;Nutrition Clinique et Metabolisme;0985-0562;0.398
4672;GEODINAMICA ACTA;0985-3111;1.714
5465;NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY;0987-7053;1.479
11046;RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS;0988-3754;0.319
8639;Inra Productions Animales;0990-0632;0.767
6041;AQUATIC LIVING RESOURCES;0990-7440;1.327
4616;ANNALES GEOPHYSICAE;0992-7689;1.731
10848;Revue Internationale de Psychologie Sociale-International Review of Social Psychology;0992-986X;0.364
11247;Sante Publique;0995-3914;0.275
2791;EUROPEAN JOURNAL OF MECHANICS A-SOLIDS;0997-7538;2.453
5695;EUROPEAN JOURNAL OF MECHANICS B-FLUIDS;0997-7546;1.418
2093;GENETICS SELECTION EVOLUTION;0999-193X;2.895
6422;ACTA PETROLOGICA SINICA;1000-0569;1.234
11247;SPECTROSCOPY AND SPECTRAL ANALYSIS;1000-0593;0.275
5845;Petroleum Exploration and Development;1000-0747;1.377
10664;JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION;1000-2413;0.400
9831;JOURNAL OF INORGANIC MATERIALS;1000-324X;0.551
11461;PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS;1000-3282;0.224
9129;ACTA PHYSICA SINICA;1000-3290;0.677
10066;ACTA POLYMERICA SINICA;1000-3304;0.508
2211;Chinese Journal of Cancer;1000-467X;2.814
8242;ACTA PHYSICO-CHIMICA SINICA;1000-6818;0.844
10258;JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY;1000-9000;0.475
9944;Chinese Journal of Mechanical Engineering;1000-9345;0.531
7589;Chinese Journal of Aeronautics;1000-9361;0.977
3845;ACTA GEOLOGICA SINICA-ENGLISH EDITION;1000-9515;1.996
3312;Chinese Journal of Cancer Research;1000-9604;2.201
7685;RARE METALS;1001-0521;0.957
92;CELL RESEARCH;1001-0602;14.812
3298;JOURNAL OF ENVIRONMENTAL SCIENCES;1001-0742;2.208
10180;CHINESE JOURNAL OF INORGANIC CHEMISTRY;1001-4861;0.488
4143;CHINESE JOURNAL OF CHEMISTRY;1001-604X;1.872
8583;Journal of Hydrodynamics;1001-6058;0.776
5812;International Journal of Sediment Research;1001-6279;1.388
4409;CHINESE SCIENCE BULLETIN;1001-6538;1.789
9309;Nuclear Science and Techniques;1001-8042;0.641
3952;CHINESE CHEMICAL LETTERS;1001-8417;1.947
11286;JOURNAL OF INFRARED AND MILLIMETER WAVES;1001-9014;0.266
6799;Chinese Geographical Science;1002-0063;1.145
4531;Progress in Natural Science-Materials International;1002-0071;1.753
5267;PEDOSPHERE;1002-0160;1.535
3345;JOURNAL OF RARE EARTHS;1002-0721;2.188
11402;RARE METAL MATERIALS AND ENGINEERING;1002-185X;0.236
9870;Journal of Thermal Science;1003-2169;0.543
5985;TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA;1003-6326;1.340
8436;Journal of Systems Science and Systems Engineering;1004-3756;0.804
10293;Journal of Systems Engineering and Electronics;1004-4132;0.468
9241;Numerical Mathematics-Theory Methods and Applications;1004-8979;0.656
6541;CHINESE JOURNAL OF CHEMICAL ENGINEERING;1004-9541;1.207
3169;JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY;1005-0302;2.267
11379;Applied Mathematics-A Journal of Chinese Universities Series B;1005-1031;0.244
7980;PROGRESS IN CHEMISTRY;1005-281X;0.894
11341;ALGEBRA COLLOQUIUM;1005-3867;0.252
7071;CHEMICAL RESEARCH IN CHINESE UNIVERSITIES;1005-9040;1.086
8545;JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL;1006-706X;0.784
6623;Acta Metallurgica Sinica-English Letters;1006-7191;1.188
8758;Journal of Tropical Meteorology;1006-8775;0.744
7160;TSINGHUA SCIENCE AND TECHNOLOGY;1007-0214;1.063
2185;Communications in Nonlinear Science and Numerical Simulation;1007-5704;2.834
9233;JOURNAL OF FORESTRY RESEARCH;1007-662X;0.658
7510;NEW CARBON MATERIALS;1007-8827;0.993
2256;WORLD JOURNAL OF GASTROENTEROLOGY;1007-9327;2.787
10727;China Petroleum Processing & Petrochemical Technology;1008-6234;0.388
2465;ASIAN JOURNAL OF ANDROLOGY;1008-682X;2.644
9222;PLASMA SCIENCE & TECHNOLOGY;1009-0630;0.659
9877;Journal of Systems Science & Complexity;1009-6124;0.542
