Full Journal Title;ISSN;Journal Impact Factor
Journal of the Institute of Telecommunications Professionals;17559278;0.021
BioData Mining;17560381;1.640
International Journal of Law Crime and Justice;17560616;0.380
China Agricultural Economic Review;1756137X;0.609
China Agricultural Economic Review;1756137X;0.609
BMJ-British Medical Journal;17561833;19.697
International Journal of Rheumatic Diseases;17561841;1.914
European Journal of Oral Implantology;17562406;2.328
Journal of Family Theory & Review;17562570;1.829
Therapeutic Advances in Gastroenterology;1756283X;3.883
Therapeutic Advances in Neurological Disorders;17562856;2.642
Parasites & Vectors;17563305;3.234
Journal of Functional Foods;17564646;3.973
Climate and Development;17565529;1.466
Metallomics;17565901;3.540
International Journal of Shipping and Transport Logistics;17566517;1.493
Molecular Brain;17566606;3.745
International Journal of Spray and Combustion Dynamics;17568277;0.767
International Journal of Micro Air Vehicles;17568293;0.343
International Journal of Climate Change Strategies and Management;17568692;0.708
Journal of Hematology & Oncology;17568722;6.263
Topics in Cognitive Science;17568757;2.241
Future Medicinal Chemistry;17568919;3.345
Epigenetics & Chromatin;17568935;4.873
Environmental Policy and Governance;1756932X;1.345
Genome Medicine;1756994X;5.846
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH;17569966;4.357
Journal of Foot and Ankle Research;17571146;1.481
Global Change Biology Bioenergy;17571693;6.151
Journal of Ovarian Research;17572215;2.502
EMBO Molecular Medicine;17574676;9.547
Gut Pathogens;17574749;2.816
LUTS-Lower Urinary Tract Symptoms;17575664;0.231
Journal of Service Management;17575818;2.233
Bioanalysis;17576180;2.813
Stem Cell Research & Therapy;17576512;4.504
Wiley Interdisciplinary Reviews-RNA;17577004;4.519
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine;17577241;2.310
Wiley Interdisciplinary Reviews-Climate Change;17577780;3.313
Wiley Interdisciplinary Reviews-Climate Change;17577780;3.313
Orthopaedic Surgery;17577853;0.655
Quality Assurance and Safety of Crops & Foods;17578361;0.624
Perspectives in Public Health;17579139;0.987
Integrative Biology;17579694;3.371
Global Health Promotion;17579759;1.011
International Journal of Bio-Inspired Computation;17580366;1.390
Database-The Journal of Biological Databases and Curation;17580463;2.627
Applied Psychology-Health and Well Being;17580846;2.917
Avian Biology Research;17581559;0.806
Neuropsychiatry;17582008;1.456
International Journal of Global Warming;17582083;1.286
Environmental Microbiology Reports;17582229;3.500
Journal of the International AIDS Society;17582652;6.256
Journal of Cheminformatics;17582946;3.949
Carbon Management;17583004;2.092
Carbon Management;17583004;2.092
Clinical Lipidology;17584299;0.769
Biofabrication;17585082;4.702
Asia-Pacific Psychiatry;17585864;0.931
Asia-Pacific Psychiatry;17585864;0.931
Global Policy;17585880;0.837
Diabetology & Metabolic Syndrome;17585996;2.119
Nature Climate Change;1758678X;17.184
Nature Climate Change;1758678X;17.184
International Journal of Applied Mechanics;17588251;1.468
Therapeutic Advances in Medical Oncology;17588340;3.938
Cognitive Neuroscience;17588928;2.373
Alzheimers Research & Therapy;17589193;5.197
International Journal of Microwave and Wireless Technologies;17590787;0.472
Wiley Interdisciplinary Reviews-Computational Molecular Science;17590876;10.234
ASN Neuro;17590914;2.828
Research Synthesis Methods;17592879;2.462
Nature Reviews Neurology;17594758;18.418
Nature Reviews Clinical Oncology;17594774;18.786
Nature Reviews Rheumatology;17594790;10.531
Nature Reviews Urology;17594812;5.957
Nature Reviews Cardiology;17595002;10.533
Nature Reviews Endocrinology;17595029;15.432
Nature Reviews Gastroenterology & Hepatology;17595045;14.435
Nature Reviews Nephrology;17595061;9.463
Genome Biology and Evolution;17596653;4.098
Quantitative Economics;17597323;1.216
Language & History;17597536;0.071
Wiley Interdisciplinary Reviews-Developmental Biology;17597684;4.711
Thoracic Cancer;17597706;0.799
Journal of NeuroInterventional Surgery;17598478;2.959
Mobile DNA;17598753;2.520
Analytical Methods;17599660;1.915
Polymer Chemistry;17599954;5.687
Journal of Veterinary Cardiology;17602734;0.631
Quantitative InfraRed Thermography Journal;17686733;1.200
European Journal of Medical Genetics;17697212;1.810
Nephrologie & Therapeutique;17697255;0.541
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY;17732247;0.620
EuroIntervention;1774024X;3.863
Agronomy for Sustainable Development;17740746;4.141
Archives des Maladies Professionnelles et de l Environnement;17758785;0.184
Targeted Oncology;17762596;3.197
Psycho-Oncologie;17783798;0.176
JBR-BTR;17802393;0.354
Journal on Multimodal User Interfaces;17837677;1.017
ACTA CLINICA BELGICA;17843286;0.683
Acta Polytechnica Hungarica;17858860;0.544
Civil Szemle;17863341;0.136
Miskolc Mathematical Notes;17872405;0.335
Express Polymer Letters;1788618X;2.965
Hellenic Journal of Nuclear Medicine;17905427;1.015
Global NEST Journal;17907632;0.458
Molecular Medicine Reports;17912997;1.559
Experimental and Therapeutic Medicine;17920981;1.280
Oncology Letters;17921074;1.482
Journal of the Hellenic Veterinary Medical Society;17922720;0.326
International Journal of Number Theory;17930421;0.463
NANO;17932920;0.951
Journal of Earthquake and Tsunami;17934311;0.333
International Journal of Biomathematics;17935245;0.938
Journal of Topology and Analysis;17935253;0.614
Journal of Innovative Optical Health Sciences;17935458;1.033
Functional Materials Letters;17936047;1.333
Earth Sciences Research Journal;17946190;0.302
Aquatic Invasions;17986540;1.955
Soil and Water Research;18015395;0.580
Fottea;18025439;2.026
Journal of Geosciences;18026222;1.326
EUROPEAN JOURNAL OF ENTOMOLOGY;18028829;0.954
ACTA SCIENTIARUM-TECHNOLOGY;18062563;0.315
Jornal Brasileiro de Pneumologia;18063713;1.019
RBGN-Revista Brasileira de Gestao de Negocios;18064892;0.047
Revista Ciencia Agronomica;18066690;0.498
Brazilian Oral Research;18068324;0.859
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE;18069290;0.412
Animal Reproduction;18069614;0.574
Brazilian Journal of Botany;18069959;0.734
Revista Brasileira de Engenharia Agricola e Ambiental;18071929;0.478
Clinics;18075932;1.328
ACTA SCIENTIARUM-AGRONOMY;18078621;1.317
Custos e Agronegocio On Line;18082882;0.028
Custos e Agronegocio On Line;18082882;0.028
Brazilian Journal of Otorhinolaryngology;18088694;0.730
South American Journal of Herpetology;18089798;0.837
Medicina Veterinaria-Recife;18094678;0.100
Journal of Engineering Thermophysics;18102328;0.812
POLYMER SCIENCE SERIES C;18112382;1.720
Elements;18115209;4.585
International Journal of Pharmacology;18117775;0.536
Ocean Science;18120784;2.985
Journal of Mathematical Physics Analysis Geometry;18129471;0.212
European Review of Aging and Physical Activity;18137253;1.364
AFRICAN JOURNAL OF MARINE SCIENCE;1814232X;1.058
Hong Kong Journal of Dermatology & Venereology;18147453;0.061
Climate of the Past;18149324;3.638
Symmetry Integrability and Geometry-Methods and Applications;18150659;1.040
Communications in Computational Physics;18152406;1.778
International Journal of Central Banking;18154654;1.253
Advanced Steel Construction;1816112X;0.346
International Review of the Red Cross;18163831;0.250
Annals of Thoracic Medicine;18171737;1.235
Asian Journal of WTO & International Health Law and Policy;18195164;0.590
Neurochemical Journal;18197124;0.290
Russian Journal of Pacific Geology;18197140;0.514
Mires and Peat;1819754X;1.095
Computer Science and Information Systems;18200214;0.623
Processing and Application of Ceramics;18206131;0.944
Baltic Journal of Road and Bridge Engineering;1822427X;0.519
Neurology Asia;18236138;0.196
ISJ-Invertebrate Survival Journal;1824307X;0.754
QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;18244785;2.413
Geospatial Health;18271987;1.093
Journal of Anthropological Sciences;18274765;3.158
Acta Herpetologica;18279635;0.500
Internal and Emergency Medicine;18280447;2.340
Twin Research and Human Genetics;18324274;2.339
Asian Economic Policy Review;18328105;0.720
Diving and Hyperbaric Medicine;18333516;0.952
Health Information Management Journal;18333583;1.000
Health Information Management Journal;18333583;1.000
Journal of Management & Organization;18333672;0.405
Journal of Pacific Rim Psychology;18344909;0.647
Animal Production Science;18360939;0.902
Crop & Pasture Science;18360947;1.488
Australian Meteorological and Oceanographic Journal;1836716X;1.742
Journal of Physiotherapy;18369553;4.000
Journal of Cancer;18379664;3.609
Soil Research;1838675X;1.611
Theranostics;18387640;8.854
Acoustics Australia;18392571;0.625
Acta Endocrinologica-Bucharest;18410987;0.235
Revista Romana de Medicina de Laborator;18416624;0.143
Journal of Gastrointestinal and Liver Diseases;18418724;1.891
International Journal of Computers Communications & Control;18419836;0.627
Journal of Ovonic Research;18422403;0.692
Transylvanian Review of Administrative Sciences;18422845;0.271
Digest Journal of Nanomaterials and Biostructures;18423582;0.756
Carpathian Journal of Earth and Environmental Sciences;18424090;0.730
Optoelectronics and Advanced Materials-Rapid Communications;18426573;0.412
Medical Ultrasonography;18444172;1.167
Annals of Forest Research;18448135;0.741
Croatian Journal of Forest Engineering;18455719;0.980
Operators and Matrices;18463886;0.545
Ljetopis Socijalnog Rada;18465412;0.043
Journal of Mathematical Inequalities;1846579X;0.636
Nanomaterials and Nanotechnology;18479804;1.109
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje;18485189;0.094
Intersecciones en Antropologia;1850373X;0.268
Boletin de la Sociedad Argentina de Botanica;18512372;0.232
PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY;18515657;0.143
Salud Colectiva;18518265;0.130
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS;18538665;0.663
Acta Geotechnica Slovenica;18540171;0.182
Advances in Production Engineering & Management;18546250;1.125
ARS Mathematica Contemporanea;18553966;0.985
Macedonian Journal of Chemistry and Chemical engineering;18575552;0.400
Zoosystematics and Evolution;18600743;0.800
Medical Molecular Morphology;18601480;1.471
Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften;18601804;0.712
Landscape and Ecological Engineering;18601871;0.597
Beilstein Journal of Organic Chemistry;18605397;2.697
Logical Methods in Computer Science;18605974;0.569
Biotechnology Journal;18606768;3.781
Journal of Economic Interaction and Coordination;1860711X;0.962
ChemMedChem;18607179;2.980
Text & Talk;18607330;0.477
Diabetologe;18609716;0.100
Clinical Research in Cardiology;18610684;4.324
Acta Geotechnica;18611125;2.426
Intelligent Service Robotics;18612776;0.605
Journal of Plant Diseases and Protection;18613829;0.477
Chemistry-An Asian Journal;18614728;4.592
International Journal of Computer Assisted Radiology and Surgery;18616410;1.827
Diabetes Stoffwechsel und Herz;18617603;0.204
Journal of Real-Time Image Processing;18618200;1.564
Diabetologie und Stoffwechsel;18619002;0.466
Archives of Osteoporosis;18623522;2.387
Sustainability Science;18624065;2.494
Optimization Letters;18624472;1.019
International Journal of Materials Research;18625282;0.687
Advances in Data Analysis and Classification;18625347;1.707
Physica Status Solidi-Rapid Research Letters;18626254;2.578
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE;18626300;1.648
Macromolecular Reaction Engineering;1862832X;1.256
Proteomics Clinical Applications;18628346;2.959
Service Business;18628516;0.985
Mathematics and Financial Economics;18629679;0.727
Mathematics and Financial Economics;18629679;0.727
CLEAN-Soil Air Water;18630650;1.716
Signal Image and Video Processing;18631703;0.872
Zoonoses and Public Health;18631959;2.574
Seminars in Immunopathology;18632297;6.394
Cliometrica;18632505;0.731
Brain Structure & Function;18632653;5.811
Endangered Species Research;18635407;1.325
Plant Biotechnology Reports;18635466;1.490
Medizinische Genetik;18635490;0.086
Review of Managerial Science;18636683;0.814
Arthropod Systematics & Phylogeny;18637221;1.655
AStA-Advances in Statistical Analysis;18638171;1.053
Laser & Photonics Reviews;18638880;7.486
Fundamental and Applied Limnology;18639135;0.786
European Journal of Trauma and Emergency Surgery;18639933;0.472
Journal of Biophotonics;1864063X;3.818
Journal of Media Psychology-Theories Methods and Applications;18641105;0.694
International Journal of Conflict and Violence;18641385;0.184
Survey Research Methods;18643361;1.031
ChemSusChem;18645631;7.116
Vertebrate Zoology;18645755;0.722
Economics-The Open Access Open-Assessment E-Journal;18646042;0.460
Zeitschrift fur Orthopadie und Unfallchirurgie;18646697;0.510
Aquatic Biology;18647790;1.265
Advances in Calculus of Variations;18648258;1.219
Social Psychology;18649335;1.979
Earth Science Informatics;18650473;1.524
Transboundary and Emerging Diseases;18651674;2.714
Journal of K-Theory;18652433;0.557
Cellular and Molecular Bioengineering;18655025;1.589
Memetic Computing;18659284;0.900
Deutsches Arzteblatt International;18660452;3.738
Journal of Neurodevelopmental Disorders;18661947;2.787
School Mental Health;18662625;1.214
Earth System Science Data;18663508;8.286
Journal of Personnel Psychology;18665888;0.925
Journal of Infrared Millimeter and Terahertz Waves;18666892;1.851
Food Engineering Reviews;18667910;4.375
Archaeological and Anthropological Sciences;18669557;1.636
Archaeological and Anthropological Sciences;18669557;1.636
Cognitive Computation;18669956;1.933
Business & Information Systems Engineering;18670202;2.059
Food and Environmental Virology;18670334;2.338
European Transport Research Review;18670717;0.672
European Transport Research Review;18670717;0.672
Japanese Journal of Radiology;18671071;0.874
Probiotics and Antimicrobial Proteins;18671306;1.283
Atmospheric Measurement Techniques;18671381;2.989
Palaeobiodiversity and Palaeoenvironments;18671594;1.322
Marine Biodiversity;18671616;1.915
Geoheritage;18672477;1.045
ChemCatChem;18673880;4.724
Molecular Informatics;18681743;1.570
Electrocatalysis;18682529;2.347
Translational Stroke Research;18684483;4.503
Journal of Ambient Intelligence and Humanized Computing;18685137;0.835
ALTEX-Alternatives to Animal Experimentation;1868596X;5.712
Applied Linguistics Review;18686311;0.500
Laboratory Phonology;18686346;0.667
Journal of Hepato-Biliary-Pancreatic Sciences;18686974;3.146
Clinical Epigenetics;18687083;4.327
International Journal of Machine Learning and Cybernetics;18688071;1.110
Hormones & Cancer;18688497;3.167
Mindfulness;18688527;3.317
Journal of Hematopathology;18689256;0.138
Sexuality Research and Social Policy;18689884;1.452
ARCHIV FUR MOLLUSKENKUNDE;18690963;1.087
Clinical Neuroradiology;18691439;2.887
Journal of Zhejiang University-SCIENCE C-Computers & Electronics;18691951;0.392
Aquaculture Environment Interactions;1869215X;1.985
Series-Journal of the Spanish Economic Association;18694187;0.457
Translational Behavioral Medicine;18696716;2.189
Translational Behavioral Medicine;18696716;2.189
Diabetes Therapy;18696953;2.419
Solid Earth;18699510;2.083
Andamios;18700063;0.039
Journal of the Mexican Chemical Society;1870249X;0.722
Revista Mexicana de Biodiversidad;18703453;0.493
Quaternary Geochronology;18711014;3.142
Livestock Science;18711413;1.293
Palaeoworld;1871174X;0.939
Thinking Skills and Creativity;18711871;1.022
Applied Research in Quality of Life;18712584;0.894
Obesity Research & Clinical Practice;1871403X;2.094
Cognitive Neurodynamics;18714080;2.159
NanoEthics;18714757;0.591
NanoEthics;18714757;0.591
Women and Birth;18715192;1.525
Women and Birth;18715192;1.525
Anti-Cancer Agents in Medicinal Chemistry;18715206;2.722
CNS & Neurological Disorders-Drug Targets;18715273;2.188
Endocrine Metabolic & Immune Disorders-Drug Targets;18715303;1.987
New Biotechnology;18716784;3.199
Recent Patents on Nanotechnology;18722105;1.576
Forensic Science International-Genetics;18724973;4.988
Journal of Pharmaceutical Innovation;18725120;1.603
Arthropod-Plant Interactions;18728855;1.448
Stem Cell Research;18735061;3.892
Small-Scale Forestry;18737617;0.814
Air Quality Atmosphere and Health;18739318;2.324
International Journal of Gerontology;18739598;0.463
Journal of Cell Communication and Signaling;18739601;3.123
Polar Science;18739652;1.157
Journal of Crohns & Colitis;18739946;6.585
Theoretical Ecology;18741738;2.085
Biomolecular NMR Assignments;18742718;0.687
Phytochemistry Letters;18743900;1.353
Journal of Proteomics;18743919;3.867
Applied Spatial Analysis and Policy;1874463X;0.686
Physical Communication;18744907;0.802
International Journal of Critical Infrastructure Protection;18745482;1.351
Neuroethics;18745490;1.305
Neuroethics;18745490;1.305
Marine Genomics;18747787;1.883
Vocations and Learning;1874785X;1.333
Educational Assessment Evaluation and Accountability;18748597;0.583
Mathematical Geosciences;18748961;1.777
Child Indicators Research;1874897X;1.011
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms;18749399;5.373
International Journal of the Commons;18750281;1.792
World Mycotoxin Journal;18750710;2.091
Biosemiotics;18751342;0.391
Biosemiotics;18751342;0.391
Archives of Cardiovascular Diseases;18752136;2.271
International Journal of Social Robotics;18754791;1.407
Journal of Natural Gas Science and Engineering;18755100;2.045
Journal of Mens Health;18756867;0.652
Journal of Mens Health;18756867;0.652
International Journal of Computational Intelligence Systems;18756891;0.391
Pediatrics and Neonatology;18759572;1.319
Aeolian Research;18759637;2.275
Journal of Infection and Public Health;18760341;1.194
Journal of the Taiwan Institute of Chemical Engineers;18761070;2.848
Journal of Ambient Intelligence and Smart Environments;18761364;0.707
Clinical Simulation in Nursing;18761399;1.360
Clinical Simulation in Nursing;18761399;1.360
Water Quality Exposure and Health;18761658;1.692
Academic Pediatrics;18762859;2.438
Beneficial Microbes;18762883;3.301
International Health;18763413;1.621
International Health;18763413;1.621
European Journal of Integrative Medicine;18763820;0.769
Hague Journal on the Rule of Law;18764045;0.286
Food Security;18764517;1.557
Silicon;1876990X;0.860
Revue Francaise d Allergologie;18770320;0.217
Set-Valued and Variational Analysis;18770533;0.973
Orthopaedics & Traumatology-Surgery & Research;18770568;1.393
Progress in Molecular Biology and Translational Science;18771173;3.364
Waste and Biomass Valorization;18772641;0.915
Current Opinion in Environmental Sustainability;18773435;4.658
Sexual & Reproductive Healthcare;18775756;1.211
Journal of Parkinsons Disease;18777171;3.015
Conservation Genetics Resources;18777252;0.446
Journal of Computational Science;18777503;1.078
Cancer Epidemiology;18777821;2.644
Journal of Family Business Strategy;18778585;1.088
Ticks and Tick-Borne Diseases;1877959X;2.690
Review of Cognitive Linguistics;18779751;0.364
Reaction Kinetics Mechanisms and Catalysis;18785190;1.265
Arabian Journal of Chemistry;18785352;3.613
Fungal Biology;18786146;2.244
European Geriatric Medicine;18787649;1.326
Journal of Visceral Surgery;18787886;1.568
World Neurosurgery;18788750;2.685
Developmental Cognitive Neuroscience;18789293;3.963
Pragmatics and Society;18789714;0.297
Journal of Geriatric Oncology;18794068;2.257
European Journal for Philosophy of Science;18794912;0.829
Current Opinion in Virology;18796257;5.313
European Annals of Otorhinolaryngology-Head and Neck Diseases;18797296;0.942
Linguistic Approaches to Bilingualism;18799264;0.564
International Journal of Paleopathology;18799817;0.788
Journal of Laser Micro Nanoengineering;18800688;0.759
Journal of Thermal Science and Technology;18805566;0.611
EARTH PLANETS AND SPACE;18805981;1.871
Journal of Physiological Sciences;18806546;2.165
Journal of Physiological Anthropology;18806805;1.694
Journal of Advanced Mechanical Design Systems and Manufacturing;18813054;0.331
BioScience Trends;18817815;1.533
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN;18820743;0.828
Applied Physics Express;18820778;2.265
JOURNAL OF THE JAPANESE SOCIETY FOR HORTICULTURAL SCIENCE;18823351;0.580
Journal of Prosthodontic Research;18831958;1.693
NPG Asia Materials;18844049;8.772
Revista de Psiquiatria y Salud Mental;18889891;1.650
Revista de Psiquiatria y Salud Mental;18889891;1.650
European Journal of Psychology Applied to Legal Context;18891861;1.000
Etikk i Praksis;18903991;0.682
Central European Journal of Biology;1895104X;0.814
Central European Journal of Medicine;18951058;0.190
CENTRAL EUROPEAN JOURNAL OF CHEMISTRY;18951066;1.207
Central European Journal of Mathematics;18951074;0.512
CENTRAL EUROPEAN JOURNAL OF PHYSICS;18951082;0.948
Advances in Cognitive Psychology;18951171;1.444
Videosurgery and Other Miniinvasive Techniques;18954588;0.920
Problemy Ekorozwoju;18956912;0.661
Acta Geophysica;18957455;0.945
Advances in Medical Sciences;18961126;1.211
Geochronometria;18971695;2.038
Cardiology Journal;18975593;1.130
Poznan Studies in Contemporary Linguistics;18977499;0.093
Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S;18986196;0.552
Advances in Clinical and Experimental Medicine;18995276;1.127
Nordic Psychology;19012276;0.432
Asian Biomedicine;19057415;0.134
Maejo International Journal of Science and Technology;19057873;0.329
CUAJ-Canadian Urological Association Journal;19116470;0.866
Interdisciplinary Sciences-Computational Life Sciences;19132751;0.853
Journal of Otolaryngology-Head & Neck Surgery;19160216;1.585
Botany;19162790;1.317
Chronic Diseases and Injuries in Canada;19256523;1.558
J-FOR-Journal of Science & Technology for Forest Products and Processes;19276311;0.612
SPE Production & Operations;19301855;0.818
BioResources;19302126;1.334
Judgment and Decision Making;19302975;1.856
Journal of Modern Dynamics;19305311;0.675
Advances in Mathematics of Communications;19305346;0.631
Obesity;19307381;3.614
Inverse Problems and Imaging;19308337;0.951
Cell Host & Microbe;19313128;12.552
Journal of Applied Remote Sensing;19313195;0.937
Psychology of Aesthetics Creativity and the Arts;19313896;2.224
Training and Education in Professional Psychology;19313918;1.219
Communications in Number Theory and Physics;19314523;0.474
IEEJ Transactions on Electrical and Electronic Engineering;19314973;0.261
Translational Research;19315244;4.557
Journal of Mental Health Research in Intellectual Disabilities;19315864;0.722
Bayesian Analysis;19316690;1.087
Journal of Surgical Education;19317204;1.950
Brain Imaging and Behavior;19317557;3.667
International Journal of Sexual Health;19317611;0.729
CBE-Life Sciences Education;19317913;1.908
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY;1931857X;3.390
Applied Physics Reviews;19319401;14.310
Journal of Addiction Medicine;19320620;2.065
Biofuels Bioproducts & Biorefining-Biofpr;1932104X;4.416
Biomicrofluidics;19321058;2.708
Statistical Analysis and Data Mining;19321864;0.574
Asia-Pacific Journal of Chemical Engineering;19322135;0.728
Journal of Cancer Survivorship;19322259;3.478
Journal of Cancer Survivorship;19322259;3.478
Translation and Interpreting Studies;19322798;0.214
Strategic Entrepreneurship Journal;19324391;1.800
Integrative Psychological and Behavioral Science;19324502;1.088
IEEE Industrial Electronics Magazine;19324529;5.303
IEEE Transactions on Network and Service Management;19324537;1.296
IEEE Transactions on Biomedical Circuits and Systems;19324545;2.018
IEEE Journal of Selected Topics in Signal Processing;19324553;2.569
Journal of Micro-Nanolithography MEMS and MOEMS;19325150;1.335
Journal of Experimental Zoology Part A-Ecological Genetics and Physiology;19325223;1.226
Annals of Applied Statistics;19326157;1.432
Journal of Medical Devices-Transactions of the ASME;19326181;0.450
PLoS One;19326203;3.057
Journal of Tissue Engineering and Regenerative Medicine;19326254;4.710
Journal of Physical Chemistry C;19327447;4.509
Journal of Cardiopulmonary Rehabilitation and Prevention;19327501;1.632
Journal of Food Measurement and Characterization;19327587;0.521
International Journal of Communication;19328036;0.701
IEEE Systems Journal;19328184;2.114
Developmental Neurobiology;19328451;2.529
Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology;19328486;1.507
Journal of Human Capital;19328575;0.593
Personality and Mental Health;19328621;1.400
Mucosal Immunology;19330219;6.103
Journal of Neurosurgery-Pediatrics;19330707;1.757
Journal of the American Society of Hypertension;19331711;2.656
Journal of Clinical Lipidology;19332874;4.906
Econ Journal Watch;1933527X;0.245
Theoretical Economics;19336837;1.732
Prion;19336896;2.444
Cell Adhesion & Migration;19336918;3.306
FLY;19336934;0.867
Channels;19336950;2.008
Reproductive Sciences;19337191;2.429
Neurotherapeutics;19337213;4.676
Archives of Environmental & Occupational Health;19338244;1.603
Fire Ecology;19339747;1.098
PM&R;19341482;1.655
Journal of Nanophotonics;19342608;1.488
Journal of Research on Educational Effectiveness;19345747;1.094
Natural Product Communications;1934578X;0.884
Cell Stem Cell;19345909;22.387
Journal of Cardiovascular Computed Tomography;19345925;2.472
International Journal of Agricultural and Biological Engineering;19346344;1.007
CANCER CYTOPATHOLOGY;1934662X;3.183
Biointerphases;19348630;2.105
Intellectual and Developmental Disabilities;19349491;1.545
B E Journal of Economic Analysis & Policy;19351682;0.250
B E Journal of Macroeconomics;19351690;0.164
B E Journal of Theoretical Economics;19351704;0.412
PLoS Neglected Tropical Diseases;19352735;3.948
Swarm Intelligence;19353812;2.577
PALAEONTOLOGIA ELECTRONICA;19353952;1.234
Food and Bioprocess Technology;19355130;2.574
Electronic Journal of Statistics;19357524;0.736
Disaster Medicine and Public Health Preparedness;19357893;0.923
Disaster Medicine and Public Health Preparedness;19357893;0.923
Brain Stimulation;1935861X;4.793
Electronic Research Announcements in Mathematical Sciences;19359179;0.333
Tropical Plant Biology;19359756;0.562
Anatomical Sciences Education;19359772;2.303
Hepatology International;19360533;1.125
Ecohydrology;19360584;2.138
ACS Nano;19360851;13.334
Annual Review of Biophysics;1936122X;11.625
Annual Review of Analytical Chemistry;19361327;8.000
Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences;19362447;0.742
International Journal of Clinical and Experimental Pathology;19362625;1.581
SIAM Journal on Imaging Sciences;19364954;2.687
Journal of Plant Registrations;19365209;0.474
Chemosensory Perception;19365802;1.053
Peer-to-Peer Networking and Applications;19366442;1.000
Disability and Health Journal;19366574;1.345
Disability and Health Journal;19366574;1.345
Flexible Services and Manufacturing Journal;19366582;1.857
ACM Transactions on Reconfigurable Technology and Systems;19367406;0.500
JACC-Cardiovascular Imaging;1936878X;7.815
JACC-Cardiovascular Interventions;19368798;7.630
Operations Management Research;19369735;0.632
Food Analytical Methods;19369751;2.167
Algebra & Number Theory;19370652;0.838
International Journal of Cognitive Therapy;19371209;1.062
Discrete and Continuous Dynamical Systems-Series S;19371632;0.737
Journal of Studies on Alcohol and Drugs;19371888;2.197
Journal of Studies on Alcohol and Drugs;19371888;2.197
Social Work in Public Health;19371918;0.643
Journal of Neuroscience Psychology and Economics;1937321X;1.061
International Journal of Feminist Approaches To Bioethics;19374585;0.488
Kinetic and Related Models;19375093;1.372
Journal of Cardiovascular Translational Research;19375387;3.197
HERD-Health Environments Research & Design Journal;19375867;0.540
International Review of Cell and Molecular Biology;19376448;3.752
Engineering Studies;19378629;0.417
Engineering Studies;19378629;0.417
University of Pennsylvania Journal of International Law;19380283;0.019
Islets;19382014;2.408
WILDLIFE SOCIETY BULLETIN;19385463;0.781
JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT;1938663X;0.222
Journal of Transport and Land Use;19387849;0.689
Statistics and Its Interface;19387989;1.546
Journal of Diversity in Higher Education;19388926;0.676
Cornell Hospitality Quarterly;19389655;2.408
Topics in Companion Animal Medicine;19389736;0.960
Security and Communication Networks;19390114;0.806
Journal of Commutative Algebra;19390807;0.429
BioEnergy Research;19391234;3.309
IEEE Transactions on Services Computing;19391374;2.365
IEEE Transactions on Learning Technologies;19391382;1.129
IEEE Transactions on Learning Technologies;19391382;1.129
IEEE Intelligent Transportation Systems Magazine;19391390;1.547
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing;19391404;2.145
IEEE Transactions on Haptics;19391412;1.031
Historical Studies in the Natural Sciences;19391811;0.500
Historical Studies in the Natural Sciences;19391811;0.500
International Journal of Coal Preparation and Utilization;19392699;0.855
Food Additives & Contaminants Part B-Surveillance;19393210;1.467
Autism Research;19393792;3.048
Autism Research;19393792;3.048
Wiley Interdisciplinary Reviews-Cognitive Science;19395078;1.680
Wiley Interdisciplinary Reviews-Systems Biology and Medicine;19395094;3.027
Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology;19395116;4.095
International Journal of Metalcasting;19395981;0.196
Systems Biology in Reproductive Medicine;19396368;1.204
Invasive Plant Science and Management;19397291;1.210
Journal of Signal Processing Systems for Signal Image and Video Technology;19398018;0.508
Rice;19398425;3.417
Tropical Conservation Science;19400829;1.194
Jove-Journal of Visualized Experiments;1940087X;1.113
Journal of Building Performance Simulation;19401493;1.807
International Journal of Press-Politics;19401612;1.979
Mitochondrial DNA;19401736;1.760
Journal of Aerospace Information Systems;19403151;0.302
Plant Genome;19403372;3.509
Research in Gerontological Nursing;19404921;0.593
Research in Gerontological Nursing;19404921;0.593
International Journal of Clinical and Experimental Medicine;19405901;1.075
Cancer Prevention Research;19406207;3.887
